,age,ecode,inpatient,sex,high_income,N1,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N2,N20,N21,N22,N23,N24,N25,N26,N27,N28,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N5,N51,N52,N53,N54,N6,N7,N8,N9,N99
0,0,inj_animal_nonven,0,1,0,0,0,0,0,0,0.283018868,0,0.006289308,0,0.006289308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006289308,0,0.628930818,0.044025157,0,0,0.006289308,0,0,0.018867925,0,0,0,0,0,0,0,0,0,0,0
1,0,inj_animal_nonven,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,inj_animal_nonven,0,2,0,0,0,0,0,0,0.282828283,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636363636,0.03030303,0,0.02020202,0,0,0,0.02020202,0,0,0,0,0,0,0,0,0,0,0
3,0,inj_animal_nonven,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,inj_animal_nonven,1,1,0,0,0,0,0,0,0,0,0.009708738,0,0.019417476,0,0.004854369,0.009708738,0,0.019417476,0.009708738,0.004854369,0,0.014563107,0,0.033980583,0,0,0,0,0,0,0,0,0.004854369,0,0.004854369,0,0.529126214,0.213592233,0,0.009708738,0,0,0.004854369,0.106796117,0,0,0,0,0,0,0,0,0,0,0
5,0,inj_animal_nonven,1,1,1,0,0,0,0,0,0.009864365,0.012330456,0.001233046,0.002466091,0.003699137,0,0.001233046,0.003699137,0,0.002466091,0.025893958,0,0,0.006165228,0,0.006165228,0.001233046,0,0,0,0,0,0,0,0.001233046,0.002466091,0.023427867,0,0.411837238,0.009864365,0,0.001233046,0.013563502,0.004932182,0.011097411,0.441430333,0,0,0,0,0,0,0,0.001233046,0.001233046,0,0
6,0,inj_animal_nonven,1,2,0,0,0,0,0,0,0.006802721,0,0.013605442,0,0.006802721,0.006802721,0,0,0,0.013605442,0.020408163,0.006802721,0,0,0,0.020408163,0.020408163,0,0,0.006802721,0,0,0,0,0.006802721,0,0.034013605,0,0.544217687,0.170068027,0,0.027210884,0,0,0.020408163,0.047619048,0.006802721,0,0,0,0,0,0,0,0.013605442,0.006802721,0
7,0,inj_animal_nonven,1,2,1,0,0,0,0,0,0.013372957,0.008915305,0,0.002971768,0.001485884,0,0.004457652,0.001485884,0,0,0.014858841,0.001485884,0,0.013372957,0,0.007429421,0.001485884,0,0,0,0,0,0,0.001485884,0.002971768,0,0.019316493,0.001485884,0.439821694,0.007429421,0.001485884,0.005943536,0.011887073,0,0.013372957,0.421991085,0,0,0,0,0,0,0,0,0.001485884,0,0
8,0,inj_animal_venom,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009803922,0.960784314,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
9,0,inj_animal_venom,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
